decrypt_time,query_match_time,encrypt_time,result_ctxt_size,total_runtime(ms)
3.897,1.146,0.028,17,2286.288244000
3.873,1.146,0.024,17,2292.999448000
3.867,1.058,0.014,17,2169.644673000
3.958,1.026,0.013,17,2129.200859000
2.117,0.616,0.013,17,1262.204891000
2.106,0.618,0.014,17,1565.304861000
2.112,0.621,0.012,17,1311.263478000
3.944,1.068,0.013,17,2164.438553000
3.908,1.133,0.026,17,2234.496563000
2.092,0.622,0.012,17,1295.301464000
2.108,0.615,0.011,17,1304.193059000
2.076,0.618,0.014,17,1447.675157000
2.365,0.642,0.016,17,1294.788535000
2.113,0.614,0.009,17,1286.672838000
3.841,1.144,0.02,17,2269.604123000
2.207,0.625,0.013,17,1313.027363000
2.183,0.64,0.029,17,1362.343614000
2.08,0.614,0.01,17,1289.203225000
3.909,1.144,0.025,17,2285.281771000
3.947,1.146,0.024,17,2289.888240000
2.098,0.614,0.01,17,1286.911171000
3.969,1.087,0.015,17,2203.115744000
3.922,1.144,0.021,17,2286.442268000
3.85,1.071,0.018,17,2186.881750000
2.05,0.615,0.01,17,1257.261821000
3.921,1.124,0.017,17,2234.950059000
3.908,1.145,0.021,17,2294.783912000
2.103,0.615,0.01,17,1296.282766000
3.901,1.103,0.016,17,2207.989645000
2.129,1.001,0.019,17,1746.138934000
3.922,1.117,0.019,17,2241.911295000
3.871,1.034,0.021,17,2142.552699000
3.868,1.018,0.012,17,2120.739639000
2.072,0.616,0.012,17,1253.755347000
3.925,1.072,0.016,17,2177.374167000
3.859,1.143,0.02,17,2284.067126000
2.095,0.632,0.012,17,1553.370588000
3.906,1.143,0.022,17,2270.068369000
3.899,1.044,0.014,17,2155.354374000
3.954,1.091,0.019,17,2202.827336000
3.853,1.174,0.025,17,2323.093537000
2.202,0.614,0.01,17,1296.315401000
4.075,1.033,0.022,17,2145.144398000
4.001,1.06,0.013,17,2162.683598000
3.947,1.1,0.018,17,2208.988174000
2.081,0.654,0.027,17,1329.234298000
2.087,0.625,0.011,17,1298.915282000
2.091,0.705,0.038,17,1394.007416000
2.074,0.622,0.014,17,1295.246033000
2.113,0.627,0.013,17,1500.258977000
