decrypt_time,query_match_time,encrypt_time,result_ctxt_size,total_runtime(ms)
2.127,1.306,0.031,17,2099.687429000
2.096,1.244,0.015,17,2020.029614000
3.917,1.649,0.018,17,2972.609235000
2.07,1.244,0.016,17,2008.251599000
3.941,1.657,0.021,17,2994.637714000
2.08,1.238,0.012,17,2039.484538000
2.118,1.282,0.029,17,2088.639922000
3.858,1.599,0.013,17,2924.640869000
2.059,1.238,0.009,17,2023.671623000
3.939,1.648,0.023,17,2980.555396000
2.075,1.301,0.027,17,2103.934954000
4.065,1.683,0.035,17,3017.981053000
2.129,1.253,0.014,17,2020.364882000
2.092,1.254,0.015,17,2044.594702000
3.972,1.614,0.012,17,2945.241856000
2.115,1.311,0.034,17,2120.409932000
2.075,1.246,0.015,17,2180.835542000
3.942,1.621,0.015,17,2949.617689000
3.926,1.627,0.017,17,2952.483430000
4.041,1.625,0.014,17,2967.401178000
3.896,1.62,0.015,17,2952.898142000
4.035,1.576,0.016,17,2910.132654000
2.087,1.245,0.017,17,2036.133831000
2.09,1.239,0.012,17,2033.278256000
2.105,1.238,0.014,17,2431.020539000
3.969,1.619,0.016,17,2935.932976000
3.878,1.658,0.041,17,2999.164079000
2.123,1.231,0.012,17,2352.852547000
2.106,1.3,0.031,17,2115.968459000
2.126,1.246,0.016,17,2233.942770000
3.894,1.827,0.034,17,3152.380023000
2.814,1.238,0.017,17,2006.952470000
2.083,1.299,0.031,17,2095.617901000
3.881,1.319,0.019,17,2616.248186000
3.908,1.637,0.014,17,2962.876742000
2.087,1.311,0.035,17,2115.776416000
2.125,1.295,0.033,17,2192.012097000
3.895,1.595,0.015,17,2919.554305000
3.906,1.689,0.015,17,3018.440868000
2.07,1.244,0.014,17,2032.973484000
3.867,1.588,0.017,17,2912.377241000
3.94,1.75,0.013,17,3076.388505000
3.905,1.59,0.014,17,2920.547836000
3.913,1.566,0.015,17,2899.957961000
3.886,1.653,0.037,17,2981.448760000
2.088,1.231,0.013,17,2022.295692000
3.979,1.674,0.036,17,3018.861268000
3.95,1.627,0.033,17,2948.110475000
2.115,1.239,0.018,17,2004.982894000
3.833,1.795,0.013,17,3112.788522000
