decrypt_time,query_match_time,encrypt_time,result_ctxt_size,total_runtime(ms)
3.951,0.572,0.023,17,1611.502585000
3.869,0.57,0.019,17,1606.530330000
3.939,0.574,0.031,17,1617.067940000
3.884,0.573,0.016,17,1611.920980000
3.938,0.572,0.021,17,1622.390229000
3.89,0.321,0.008,17,1314.816185000
2.123,0.312,0.01,17,929.004477000
3.878,0.571,0.018,17,1596.314368000
3.875,0.57,0.018,17,1604.860351000
2.105,0.313,0.01,17,1143.715576000
3.969,0.571,0.021,17,1609.238350000
2.113,0.307,0.008,17,1086.440159000
3.908,0.573,0.024,17,1605.473644000
3.874,0.575,0.023,17,1615.223595000
3.875,0.571,0.018,17,1612.095303000
2.123,0.307,0.011,17,940.276821000
3.833,0.571,0.024,17,1598.902544000
4.004,0.571,0.022,17,1633.654596000
3.838,0.57,0.019,17,1608.372941000
3.83,0.573,0.018,17,1606.332278000
3.87,0.571,0.021,17,1612.915307000
2.12,0.313,0.01,17,1129.413149000
3.813,0.57,0.017,17,1591.453534000
2.085,0.307,0.009,17,1157.029195000
3.906,0.572,0.02,17,1599.860253000
2.123,0.31,0.011,17,932.044764000
2.137,0.311,0.011,17,957.117647000
2.226,0.308,0.008,17,1268.995339000
2.098,0.311,0.01,17,939.161915000
2.127,0.309,0.008,17,1146.652715000
2.099,0.306,0.008,17,1061.897138000
2.136,0.307,0.01,17,876.551049000
2.09,0.314,0.008,17,929.830375000
3.922,0.571,0.024,17,1599.050801000
3.901,0.332,0.011,17,1327.017521000
3.899,0.57,0.021,17,1596.288941000
3.854,0.57,0.018,17,1611.019035000
2.11,0.312,0.01,17,1114.288586000
3.92,0.571,0.019,17,1601.210690000
3.944,0.571,0.021,17,1622.942801000
2.101,0.317,0.012,17,1159.496485000
2.114,0.309,0.01,17,887.390938000
2.174,0.314,0.012,17,1203.937428000
2.092,0.308,0.008,17,928.763876000
3.837,0.57,0.017,17,1595.364776000
2.107,0.312,0.01,17,1097.725001000
3.877,0.57,0.021,17,1592.901308000
3.864,0.57,0.017,17,1609.708942000
2.767,0.315,0.011,17,967.617980000
2.128,0.307,0.008,17,902.854209000
