decrypt_time,query_match_time,encrypt_time,result_ctxt_size,total_runtime(ms)
2.149,2.475,0.017,13,3547.685047000
2.205,2.554,0.035,13,3576.643873000
2.123,2.478,0.018,13,3670.388728000
2.111,2.595,0.038,13,3643.594883000
2.145,2.541,0.037,13,3592.464694000
2.143,2.558,0.038,13,3589.477510000
2.119,2.556,0.04,13,3576.428527000
2.151,2.478,0.027,13,3530.702430000
3.917,2.661,0.036,13,4451.806166000
3.934,2.628,0.041,13,4416.771281000
3.873,2.941,0.038,13,4728.668404000
2.131,2.592,0.037,13,3620.160994000
3.931,2.913,0.018,13,4692.317559000
3.905,2.641,0.037,13,4430.289099000
3.874,2.594,0.016,13,4365.962609000
4.055,2.685,0.036,13,4479.803039000
2.375,2.526,0.037,13,3563.212678000
3.948,2.688,0.043,13,4481.045203000
4.067,2.716,0.036,13,4503.948257000
2.64,2.472,0.015,13,3524.908675000
2.272,2.567,0.034,13,3632.659636000
2.089,2.505,0.019,13,3545.907538000
2.121,2.544,0.034,13,3554.770891000
4.055,2.66,0.035,13,4459.549820000
2.129,2.495,0.019,13,3531.280320000
3.903,2.684,0.037,13,4481.531003000
2.139,2.556,0.036,13,3619.883922000
2.169,2.487,0.017,13,3511.581990000
3.947,2.665,0.017,13,4449.818199000
3.874,2.623,0.017,13,4407.226326000
2.122,2.529,0.037,13,3772.848087000
3.918,2.635,0.02,13,4432.312837000
2.137,2.571,0.036,13,3636.333175000
2.12,2.578,0.037,13,3841.502643000
3.964,2.948,0.036,13,4714.637421000
2.129,2.568,0.038,13,3633.734526000
2.091,2.474,0.019,13,3520.542614000
2.165,2.553,0.034,13,3633.660411000
3.971,2.77,0.017,13,4546.381102000
2.069,2.486,0.019,13,3733.787820000
3.935,2.598,0.019,13,4383.343051000
2.213,2.478,0.017,13,3700.904419000
4.053,2.728,0.046,13,4526.169031000
3.919,2.672,0.036,13,4460.473412000
2.15,2.487,0.018,13,3560.389244000
2.129,2.559,0.036,13,3803.805564000
3.887,2.814,0.038,13,4589.388290000
3.988,2.654,0.017,13,4438.838407000
2.866,2.513,0.018,13,4166.692143000
2.102,2.562,0.035,13,3923.233394000
