decrypt_time,query_match_time,encrypt_time,result_ctxt_size,total_runtime(ms)
3.996,0.288,0.021,17,1278.906821000
2.08,0.158,0.008,17,860.764438000
3.948,0.285,0.019,17,1262.737034000
3.97,0.285,0.022,17,1281.017166000
2.235,0.158,0.009,17,892.864288000
2.089,0.154,0.008,17,705.622183000
3.945,0.285,0.017,17,1264.597649000
3.93,0.285,0.019,17,1277.550190000
3.892,0.285,0.018,17,1261.691859000
2.157,0.157,0.011,17,809.999871000
3.907,0.286,0.02,17,1263.225070000
3.866,0.284,0.015,17,1263.634563000
3.978,0.286,0.019,17,1280.470229000
3.912,0.206,0.013,17,1146.416322000
2.131,0.161,0.008,17,874.810970000
3.854,0.285,0.017,17,1266.511436000
3.936,0.286,0.017,17,1271.233306000
3.861,0.284,0.019,17,1261.370390000
3.879,0.285,0.019,17,1262.308181000
3.886,0.286,0.017,17,1281.186710000
3.873,0.285,0.019,17,1269.639091000
3.914,0.285,0.017,17,1260.314757000
4.352,0.287,0.025,17,1271.808297000
3.92,0.286,0.02,17,1278.011225000
3.911,0.227,0.013,17,1182.295293000
3.873,0.285,0.016,17,1261.729317000
2.115,0.153,0.008,17,992.937744000
3.983,0.286,0.02,17,1272.517249000
2.106,0.153,0.007,17,748.772642000
3.973,0.285,0.019,17,1273.777236000
3.88,0.286,0.018,17,1270.260960000
2.398,0.155,0.009,17,764.700978000
3.916,0.285,0.018,17,1260.093606000
3.861,0.285,0.017,17,1262.061242000
3.969,0.286,0.028,17,1284.499815000
3.89,0.285,0.017,17,1267.013605000
3.859,0.284,0.016,17,1241.311886000
3.953,0.286,0.019,17,1272.922357000
3.898,0.285,0.018,17,1252.167825000
3.925,0.285,0.018,17,1256.556449000
3.821,0.161,0.01,17,1096.692463000
3.926,0.285,0.017,17,1270.171555000
3.872,0.285,0.017,17,1267.859644000
3.849,0.285,0.016,17,1268.024130000
3.937,0.285,0.018,17,1276.488919000
2.178,0.153,0.008,17,1052.981789000
3.903,0.285,0.018,17,1251.365480000
2.095,0.153,0.007,17,740.495591000
3.898,0.285,0.024,17,1266.777228000
3.886,0.286,0.018,17,1263.927290000
