decrypted_hash,decryption_time,intersection_time,intersection_result,encryption_time,ciphertext_size,total_runtime
2084348484,2.80337,0.007,0,0.004892,1,.014525369
2084348484,2.77463,0.006,0,0.005215,1,.013229249
2084348484,2.74986,0.009,0,0.011839,1,.016938611
2084348484,2.77303,0.006,0,0.005005,1,.012328389
2084348484,2.7563,0.006,0,0.004471,1,.012426231
2084348484,2.76659,0.006,0,0.005304,1,.012192472
2084348484,2.76189,0.007,0,0.0048,1,.014079864
2084348484,2.73869,0.006,0,0.004752,1,.012169753
2084348484,2.76802,0.007,0,0.004929,1,.012523683
2084348484,2.56513,0.006,0,0.005136,1,.011869859
2084348484,2.76185,0.006,0,0.005049,1,.012484617
2084348484,2.75891,0.006,0,0.005389,1,.012163827
2084348484,2.57406,0.006,0,0.004663,1,.012120290
2084348484,2.75778,0.006,0,0.005158,1,.012300869
2084348484,2.55293,0.006,0,0.00473,1,.011881743
2084348484,2.75317,0.007,0,0.005129,1,.012250410
2084348484,2.58128,0.006,0,0.005209,1,.011972507
2084348484,2.74824,0.006,0,0.004919,1,.012074894
2084348484,2.58336,0.006,0,0.004908,1,.012057794
2084348484,2.42449,0.006,0,0.004378,1,.011031589
2084348484,2.75862,0.006,0,0.005247,1,.012480179
2084348484,2.77625,0.006,0,0.004517,1,.012042480
2084348484,2.75293,0.006,0,0.00466,1,.012349921
2084348484,2.73543,0.006,0,0.005176,1,.012130626
2084348484,2.55278,0.006,0,0.004275,1,.012453480
2084348484,2.55051,0.006,0,0.004739,1,.012204653
2084348484,2.40759,0.006,0,0.004466,1,.011029574
2084348484,2.74584,0.006,0,0.004829,1,.012116948
2084348484,2.5524,0.006,0,0.004833,1,.011688391
2084348484,2.56343,0.006,0,0.004642,1,.011490711
2084348484,2.76191,0.006,0,0.005132,1,.012036696
2084348484,2.75084,0.006,0,0.004971,1,.012304668
2084348484,2.55646,0.006,0,0.004758,1,.011491683
2084348484,2.57363,0.006,0,0.005008,1,.012295176
2084348484,2.79447,0.007,0,0.004894,1,.014221024
2084348484,2.59342,0.006,0,0.004963,1,.011886616
2084348484,2.75505,0.006,0,0.004922,1,.012238338
2084348484,2.73507,0.006,0,0.004871,1,.012134630
2084348484,2.75211,0.006,0,0.004895,1,.013254026
2084348484,2.55898,0.006,0,0.004997,1,.012133391
2084348484,2.73937,0.006,0,0.005316,1,.012378563
2084348484,2.76718,0.006,0,0.004937,1,.012326123
2084348484,2.56252,0.006,0,0.004784,1,.011962272
2084348484,2.7504,0.006,0,0.0046,1,.011760137
2084348484,2.55529,0.006,0,0.005017,1,.011693623
2084348484,2.58357,0.006,0,0.004941,1,.011647389
2084348484,2.39147,0.006,0,0.004301,1,.010981236
2084348484,2.57367,0.006,0,0.004483,1,.011606805
2084348484,4.15843,0.008,0,0.005645,1,.014756754
2084348484,2.72678,0.006,0,0.005449,1,.011800031
