hash_value,ciphertext_size,encryption_time,total_runtime
2084348484,4,0.005763,9.119437
2084348484,4,0.007907,7.881359
2084348484,4,0.007753,7.333761
2084348484,4,0.00802,7.793618
2084348484,4,0.007723,7.249522
2084348484,4,0.007157,6.902450
2084348484,4,0.007924,7.376600
2084348484,4,0.008131,7.864935
2084348484,4,0.00363,5.884597
2084348484,4,0.003776,7.482564
2084348484,4,0.008017,10.037923
2084348484,4,0.007606,8.857551
