decrypted_hash,decryption_time,intersection_time,intersection_result,encryption_time,ciphertext_size,total_runtime
2084348484,2.79599,0.011,0,0.005575,1,.018694536
2084348484,2.77728,0.011,0,0.005816,1,.103006112
2084348484,2.77221,0.01,0,0.006217,1,.017179760
2084348484,2.75268,0.01,0,0.005186,1,.017042089
2084348484,2.55303,0.01,0,0.004599,1,.016362788
2084348484,2.41222,0.009,0,0.004485,1,.015515300
2084348484,2.37142,0.009,0,0.00477,1,.015312742
2084348484,2.73554,0.01,0,0.005811,1,.016584124
2084348484,2.79197,0.011,0,0.00484,1,.017463972
2084348484,2.39676,0.009,0,0.004828,1,.015385303
2084348484,2.76775,0.01,0,0.005866,1,.017101071
2084348484,2.39597,0.009,0,0.004306,1,.015427970
2084348484,2.41216,0.009,0,0.004647,1,.015318926
2084348484,2.40281,0.009,0,0.004875,1,.015482613
2084348484,2.75974,0.01,0,0.005547,1,.016865632
2084348484,2.7364,0.01,0,0.005388,1,.016446199
2084348484,2.75633,0.01,0,0.005623,1,.016994688
2084348484,2.76231,0.01,0,0.005684,1,.016799875
2084348484,2.55036,0.01,0,0.00534,1,.016227297
2084348484,2.74415,0.01,0,0.005247,1,.017195291
2084348484,2.41237,0.009,0,0.00559,1,.015811284
2084348484,2.41775,0.009,0,0.005366,1,.015462485
2084348484,2.39915,0.009,0,0.005441,1,.015402288
2084348484,2.37429,0.009,0,0.005527,1,.015287409
2084348484,2.40444,0.009,0,0.005161,1,.015511689
2084348484,2.39179,0.009,0,0.005362,1,.015512068
2084348484,2.4185,0.009,0,0.005574,1,.015519949
2084348484,2.40226,0.009,0,0.004857,1,.015344215
2084348484,2.3729,0.009,0,0.004533,1,.015631454
2084348484,2.3726,0.009,0,0.004778,1,.015550549
2084348484,2.7212,0.01,0,0.005215,1,.016999134
2084348484,2.5852,0.01,0,0.005326,1,.016478832
2084348484,2.73163,0.01,0,0.005998,1,.016598851
2084348484,2.74762,0.01,0,0.005797,1,.016586057
2084348484,4.73335,0.013,0,0.005568,1,.021773845
2084348484,2.75985,0.01,0,0.004865,1,.016714180
2084348484,2.53916,0.01,0,0.005543,1,.016370582
2084348484,2.57375,0.01,0,0.005417,1,.016153791
2084348484,2.77873,0.01,0,0.00609,1,.016532854
2084348484,2.39507,0.009,0,0.004764,1,.015642947
2084348484,2.38255,0.009,0,0.004545,1,.015232039
2084348484,2.38228,0.009,0,0.004738,1,.015386228
2084348484,2.38786,0.009,0,0.004712,1,.015190677
2084348484,2.38172,0.009,0,0.004794,1,.015405409
2084348484,2.38982,0.009,0,0.004698,1,.015317790
2084348484,2.55109,0.01,0,0.005165,1,.016021785
2084348484,2.76819,0.01,0,0.005039,1,.016716929
2084348484,2.43529,0.009,0,0.004705,1,.015252021
2084348484,2.38535,0.009,0,0.00514,1,.015220769
2084348484,2.56613,0.01,0,0.00564,1,.016429659
