decrypted_hash,decryption_time,intersection_time,intersection_result,encryption_time,ciphertext_size,total_runtime
2084348484,2.85846,0.61,0,0.01865,1,.797374935
2084348484,2.90017,0.608,0,0.019787,1,.783018478
2084348484,2.02344,0.612,0,0.019861,1,.792221814
2084348484,2.89962,0.581,0,0.017699,1,.744905696
2084348484,1.98826,0.568,0,0.017141,1,.731591651
2084348484,1.98778,0.57,0,0.017354,1,.740802171
2084348484,1.97254,0.354,0,0.01177,1,.434780862
2084348484,2.79801,0.597,0,0.022304,1,.781585806
2084348484,2.88265,0.606,0,0.017639,1,.783306060
2084348484,2.88941,0.324,0,0.012064,1,.406526994
2084348484,2.79873,0.582,0,0.020676,1,.752585908
2084348484,2.8906,0.32,0,0.011444,1,.404175488
2084348484,2.80916,0.584,0,0.018458,1,.753372179
2084348484,1.96803,0.595,0,0.021351,1,.774731618
2084348484,2.90675,0.582,0,0.018618,1,.749404413
2084348484,2.92852,0.604,0,0.024018,1,.775305092
2084348484,2.88182,0.325,0,0.012997,1,.407371750
2084348484,4.41884,0.588,0,0.020115,1,.760664068
2084348484,2.86426,0.58,0,0.017139,1,.744893477
2084348484,2.89367,0.618,0,0.021082,1,.800085061
2084348484,1.98483,0.594,0,0.020771,1,.772255478
2084348484,2.85586,0.581,0,0.018793,1,.753109099
2084348484,2.90654,0.603,0,0.016864,1,.777069244
2084348484,2.89609,0.585,0,0.018958,1,.750304468
2084348484,2.91664,0.609,0,0.027269,1,.782102316
2084348484,2.90066,0.583,0,0.018664,1,.750421886
2084348484,2.91567,0.583,0,0.019984,1,.748895626
2084348484,2.89923,0.586,0,0.019869,1,.752351550
2084348484,1.97256,0.58,0,0.02096,1,.746534406
2084348484,1.97169,0.589,0,0.022374,1,.758278394
2084348484,2.89666,0.59,0,0.024742,1,.758070100
2084348484,2.89318,0.606,0,0.02042,1,.784437189
2084348484,2.91414,0.581,0,0.018962,1,.746246032
2084348484,2.89194,0.584,0,0.019656,1,.750260237
2084348484,2.90986,0.623,0,0.020847,1,.797739213
2084348484,2.88459,0.597,0,0.021803,1,.768971244
2084348484,2.90492,0.598,0,0.020543,1,.770606995
2084348484,2.91149,0.581,0,0.021949,1,.744554389
2084348484,2.89282,0.582,0,0.017682,1,.754490659
2084348484,2.60158,0.613,0,0.01964,1,.784063489
2084348484,2.91356,0.584,0,0.021618,1,.749895714
2084348484,2.89098,0.604,0,0.017494,1,.776065453
2084348484,2.90274,0.585,0,0.023794,1,.752035486
2084348484,2.90296,0.583,0,0.02024,1,.747445707
2084348484,1.98218,0.59,0,0.020028,1,.762166737
2084348484,1.99369,0.57,0,0.016348,1,.739792945
2084348484,2.89791,0.599,0,0.01804,1,.777732200
2084348484,2.91056,0.605,0,0.019187,1,.787005746
2084348484,2.89767,0.596,0,0.020614,1,.769929550
2084348484,2.86023,0.597,0,0.020895,1,.762668672
