decrypted_hash,decryption_time,intersection_time,intersection_result,encryption_time,ciphertext_size,total_runtime
2084348484,2.79104,0.058,0,0.00911,1,.074678154
2084348484,2.77412,0.06,0,0.008397,1,.075167986
2084348484,2.77265,0.059,0,0.008671,1,.073824646
2084348484,2.77887,0.058,0,0.008996,1,.074726076
2084348484,2.75839,0.059,0,0.007791,1,.074671495
2084348484,1.85678,0.049,0,0.005962,1,.063798070
2084348484,2.76354,0.059,0,0.007531,1,.073476915
2084348484,1.84715,0.049,0,0.006608,1,.062949473
2084348484,2.75395,0.059,0,0.010841,1,.074247435
2084348484,2.75169,0.059,0,0.00782,1,.074208588
2084348484,2.77755,0.058,0,0.008206,1,.073897377
2084348484,2.773,0.059,0,0.00758,1,.073876491
2084348484,1.89112,0.049,0,0.008126,1,.063927800
2084348484,2.75086,0.058,0,0.007782,1,.073593885
2084348484,2.83324,0.06,0,0.009086,1,.074533427
2084348484,1.87404,0.05,0,0.007672,1,.064834166
2084348484,2.75478,0.059,0,0.007293,1,.075201520
2084348484,2.75911,0.059,0,0.009552,1,.074083213
2084348484,1.90757,0.05,0,0.008205,1,.064503346
2084348484,2.75773,0.065,0,0.008561,1,.080413157
2084348484,2.77144,0.059,0,0.009707,1,.075539632
2084348484,3.96631,0.06,0,0.008309,1,.076951121
2084348484,2.77293,0.059,0,0.007275,1,.074347938
2084348484,1.82609,0.049,0,0.006099,1,.062704100
2084348484,2.74343,0.059,0,0.007749,1,.073867821
2084348484,2.77764,0.059,0,0.007125,1,.073836683
2084348484,1.86552,0.05,0,0.007455,1,.063822329
2084348484,1.84919,0.049,0,0.006425,1,.063281706
2084348484,1.82636,0.049,0,0.006712,1,.063095496
2084348484,2.77439,0.059,0,0.010842,1,.075364259
2084348484,2.75645,0.058,0,0.009963,1,.073493506
2084348484,2.75331,0.059,0,0.008517,1,.074584754
2084348484,1.91187,0.049,0,0.007869,1,.063892321
2084348484,2.74958,0.059,0,0.007333,1,.073634564
2084348484,1.86844,0.05,0,0.009843,1,.064780324
2084348484,1.89097,0.05,0,0.01045,1,.064500095
2084348484,2.77945,0.059,0,0.009842,1,.074960657
2084348484,1.90063,0.05,0,0.008396,1,.064949385
2084348484,1.86545,0.049,0,0.008288,1,.063436457
2084348484,2.78293,0.059,0,0.0095,1,.074458876
2084348484,1.88072,0.049,0,0.008037,1,.064470718
2084348484,1.88293,0.05,0,0.018798,1,.065784255
2084348484,2.79001,0.058,0,0.01379,1,.073717869
2084348484,1.90826,0.05,0,0.009826,1,.064473922
2084348484,2.77702,0.059,0,0.008428,1,.075426881
2084348484,2.79195,0.059,0,0.009843,1,.075399924
2084348484,2.84832,0.06,0,0.011693,1,.076816019
2084348484,2.7952,0.059,0,0.009285,1,.074254622
2084348484,1.8956,0.049,0,0.01294,1,.063580916
2084348484,2.76539,0.059,0,0.008486,1,.074184693
