decrypt_time,query_match_time,encrypt_time,result_ctxt_size,total_runtime(ms)
2.81411,0.176,0.010632,17,186.575171000
1.90348,0.168,0.010455,17,176.351678000
2.83467,0.175,0.01033,17,185.578010000
2.8477,0.175,0.011311,17,184.934672000
2.85365,0.175,0.011663,17,186.568123000
2.8165,0.175,0.010992,17,185.382143000
1.92338,0.167,0.009599,17,175.931574000
2.84661,0.175,0.011174,17,186.605640000
1.92512,0.166,0.009577,17,175.434886000
1.89992,0.167,0.008828,17,175.397999000
1.89355,0.166,0.008466,17,174.642090000
1.89957,0.167,0.01022,17,175.536516000
1.89908,0.166,0.009971,17,175.143488000
2.87485,0.175,0.010999,17,186.785436000
2.80013,0.175,0.009935,17,185.186036000
1.89593,0.166,0.00829,17,175.249436000
1.87642,0.166,0.010612,17,174.787502000
1.91403,0.167,0.009609,17,175.724075000
1.91523,0.167,0.010385,17,176.422600000
1.90485,0.166,0.009722,17,175.405283000
1.8741,0.167,0.009656,17,176.119438000
2.85837,0.175,0.012541,17,185.661936000
2.81019,0.175,0.0115,17,185.617988000
2.84954,0.174,0.010898,17,184.721177000
2.84533,0.174,0.010353,17,185.245925000
2.87138,0.175,0.011599,17,187.123171000
2.85571,0.176,0.011998,17,187.842367000
1.93016,0.167,0.011205,17,175.590479000
2.85734,0.177,0.013726,17,187.255413000
2.8662,0.175,0.011866,17,186.246297000
2.83142,0.176,0.009443,17,187.958528000
2.78217,0.175,0.011558,17,186.253686000
2.82289,0.175,0.009929,17,185.542928000
1.90419,0.168,0.010822,17,177.375263000
1.93559,0.167,0.009927,17,176.460711000
2.82954,0.174,0.009688,17,185.010059000
1.9059,0.167,0.008894,17,175.705170000
1.90952,0.167,0.009709,17,175.493529000
1.91363,0.166,0.010123,17,175.165537000
2.84735,0.175,0.011541,17,186.016438000
2.8165,0.174,0.011169,17,185.030758000
2.83517,0.175,0.011233,17,185.393999000
2.81913,0.174,0.010512,17,184.912823000
2.83499,0.175,0.011354,17,185.709368000
2.85324,0.176,0.01329,17,186.773768000
2.90809,0.176,0.012983,17,186.909875000
4.83975,0.176,0.012902,17,190.744799000
2.84488,0.176,0.012314,17,185.995000000
2.68465,0.175,0.011531,17,185.058309000
2.89093,0.177,0.012624,17,188.124236000
