decrypt_time,query_match_time,encrypt_time,result_ctxt_size,total_runtime(ms)
2.88555,0.68,0.013515,17,693.668557000
1.95036,0.671,0.017291,17,682.814263000
2.89397,0.678,0.015083,17,691.660615000
2.90394,0.675,0.018192,17,689.341318000
2.91806,0.679,0.012645,17,692.732747000
2.89052,0.679,0.01288,17,693.194450000
1.9466,0.67,0.014326,17,682.446950000
2.87749,0.68,0.025205,17,692.612469000
2.8988,0.68,0.017372,17,693.370447000
2.87583,0.677,0.015962,17,690.417418000
2.87641,0.679,0.014848,17,692.481819000
2.87053,0.678,0.01355,17,691.633669000
2.88835,0.679,0.016149,17,692.635253000
2.89746,0.68,0.013436,17,694.510406000
2.88385,0.678,0.018386,17,692.019442000
1.96492,0.673,0.016516,17,685.052707000
1.96658,0.671,0.015517,17,683.623619000
2.89017,0.682,0.016148,17,695.025276000
2.89409,0.678,0.012818,17,692.193418000
2.86513,0.677,0.019093,17,691.422549000
2.87349,0.679,0.014936,17,693.255594000
1.96031,0.671,0.011961,17,682.487538000
2.90579,0.678,0.01587,17,691.722786000
2.87738,0.679,0.01472,17,692.527171000
1.94731,0.672,0.016299,17,683.551325000
2.8549,0.678,0.015521,17,692.100639000
2.88851,0.678,0.016728,17,691.226078000
2.88115,0.679,0.01543,17,693.167827000
2.85548,0.68,0.016803,17,693.709844000
2.90782,0.678,0.018026,17,691.435454000
1.95246,0.671,0.015738,17,683.850106000
1.97705,0.671,0.012349,17,682.737190000
2.91452,0.679,0.018027,17,692.629121000
1.94979,0.672,0.010758,17,684.129470000
1.94849,0.672,0.013935,17,683.999305000
2.87085,0.678,0.015105,17,691.201739000
2.90423,0.678,0.018494,17,691.345560000
2.88031,0.678,0.016034,17,692.412556000
2.88727,0.679,0.014809,17,691.960813000
2.88243,0.677,0.015699,17,690.779840000
2.8734,0.677,0.01383,17,690.761043000
2.85078,0.681,0.019652,17,696.173030000
2.86852,0.681,0.018651,17,695.006965000
2.87248,0.683,0.013019,17,696.836142000
2.90628,0.679,0.014929,17,691.905462000
2.89771,0.68,0.016256,17,693.897944000
2.86564,0.68,0.014147,17,694.221085000
1.99901,0.675,0.01234,17,687.722189000
2.86957,0.677,0.017124,17,691.348533000
2.84361,0.68,0.018551,17,692.927082000
