decrypt_time,query_match_time,encrypt_time,result_ctxt_size,total_runtime(ms)
1.11606,1.462,0.012139,13,1476.099050000
2.80015,2.112,0.016222,13,2128.590803000
2.82554,2.299,0.00892,13,2316.478607000
2.80225,2.458,0.012884,13,2474.152575000
2.79333,2.679,0.018014,13,2696.818965000
2.82513,2.394,0.012823,13,2411.244514000
1.05933,1.476,0.012787,13,1488.754728000
2.80009,2.427,0.011622,13,2442.861939000
2.80563,1.489,0.011486,13,1505.593959000
2.79278,2.325,0.015854,13,2344.192295000
2.8005,1.48,0.011114,13,1496.622634000
2.79382,1.487,0.011225,13,1504.380461000
2.79068,2.405,0.015776,13,2421.964062000
2.78388,2.473,0.009328,13,2488.741443000
1.0436,1.453,0.009322,13,1466.201802000
2.78514,2.388,0.012669,13,2404.839490000
2.7795,2.403,0.011872,13,2420.870644000
2.80027,1.486,0.010696,13,1502.847665000
2.78907,1.493,0.015276,13,1510.514348000
2.80832,1.484,0.010807,13,1501.027814000
2.79318,1.49,0.014027,13,1506.261434000
3.00202,2.373,0.013047,13,2390.583843000
2.79465,1.489,0.013164,13,1505.704946000
2.78217,1.476,0.012845,13,1493.378621000
2.81261,2.306,0.012121,13,2323.020523000
2.82569,2.399,0.013513,13,2416.139544000
2.79489,1.485,0.010518,13,1501.654955000
2.79163,2.482,0.013702,13,2499.326947000
1.90407,2.404,0.010821,13,2418.253533000
2.78043,1.486,0.009395,13,1501.871293000
2.78461,1.857,0.022797,13,1880.769272000
2.87936,2.492,0.007856,13,2508.447110000
1.03515,1.483,0.011031,13,1495.956490000
1.09384,1.516,0.015002,13,1528.563963000
1.05594,1.463,0.009493,13,1475.241074000
2.8026,2.422,0.011962,13,2438.748424000
2.78285,1.536,0.012655,13,1553.960105000
2.7837,2.336,0.012753,13,2355.031734000
1.05446,1.495,0.015889,13,1510.174572000
2.78278,2.401,0.011982,13,2417.701350000
2.79189,1.496,0.010095,13,1513.581227000
2.83261,2.459,0.011893,13,2477.167016000
2.79281,1.493,0.012059,13,1509.121085000
2.78219,2.457,0.013534,13,2473.981303000
2.78621,2.454,0.011428,13,2471.352651000
2.31156,1.484,0.0108,13,1500.599744000
2.7971,2.445,0.015564,13,2462.102135000
2.8029,2.434,0.015374,13,2452.136155000
2.78804,2.476,0.011239,13,2492.450836000
2.80558,2.424,0.01064,13,2441.560336000
