decrypt_time,query_match_time,encrypt_time,result_ctxt_size,total_runtime(ms)
1.99901,1.353,0.021563,17,1368.012580000
2.91144,1.352,0.017926,17,1369.271891000
2.88286,1.354,0.015419,17,1370.699761000
2.87646,1.359,0.020572,17,1376.045182000
2.88054,1.352,0.020132,17,1369.154809000
1.96247,1.182,0.007022,17,1194.265225000
2.80484,1.352,0.014066,17,1368.282574000
2.86902,0.755,0.008151,17,768.287514000
2.78493,1.349,0.020528,17,1365.099525000
2.86098,0.756,0.007061,17,768.330361000
2.78187,1.352,0.015097,17,1369.149708000
2.85854,0.755,0.007634,17,767.854332000
2.80281,1.346,0.016401,17,1362.342880000
2.85112,1.354,0.018641,17,1370.939875000
2.24337,0.756,0.007486,17,768.199121000
2.78103,1.346,0.01712,17,1361.656436000
2.88661,1.354,0.01605,17,1370.899007000
2.86067,1.351,0.020147,17,1366.886227000
2.87047,1.352,0.019451,17,1369.894546000
2.86672,1.351,0.02054,17,1368.693732000
1.95118,1.16,0.006352,17,1170.828363000
2.80304,1.348,0.020452,17,1364.747384000
2.8728,1.357,0.016433,17,1374.974551000
3.35206,1.354,0.015377,17,1373.094436000
2.88736,1.349,0.017829,17,1366.404543000
2.85947,1.349,0.018876,17,1365.792315000
2.8603,1.35,0.014667,17,1366.668281000
2.84579,1.354,0.020087,17,1370.895922000
1.95136,1.114,0.009758,17,1126.425929000
2.77489,1.351,0.017556,17,1367.192188000
2.90371,1.356,0.015339,17,1372.611186000
1.97218,1.123,0.011496,17,1135.072500000
2.78763,1.345,0.01843,17,1361.743230000
2.85796,1.353,0.016509,17,1369.630410000
1.96539,1.133,0.008145,17,1144.196847000
2.77468,1.348,0.017548,17,1364.699156000
2.87863,0.775,0.013702,17,788.218552000
1.2924,0.753,0.010998,17,763.387020000
2.7915,1.346,0.016309,17,1360.959102000
2.8636,0.76,0.009987,17,773.677864000
2.7931,1.346,0.017212,17,1361.545234000
2.88749,1.356,0.023025,17,1373.598381000
2.87396,1.352,0.014797,17,1368.369541000
1.94336,1.198,0.013096,17,1209.078352000
1.04315,0.733,0.006426,17,742.195926000
1.05695,0.734,0.008778,17,744.716267000
2.79991,1.349,0.02587,17,1364.800651000
2.93767,0.754,0.007565,17,767.618743000
1.05105,0.733,0.007675,17,742.454612000
1.06225,0.726,0.009218,17,735.505870000
