decrypt_time,query_match_time,encrypt_time,result_ctxt_size,total_runtime(ms)
2.91117,0.092,0.012686,13,102.942603000
1.97074,0.084,0.00932,13,92.185512000
2.82102,0.091,0.010431,13,100.706768000
2.84783,0.092,0.009659,13,102.263161000
1.89225,0.083,0.009307,13,91.366039000
1.90341,0.083,0.009099,13,91.339330000
2.78411,0.091,0.009949,13,100.686000000
2.86996,0.092,0.008915,13,101.790546000
1.93885,0.083,0.009948,13,91.321233000
1.90102,0.083,0.009999,13,91.965008000
2.82652,0.092,0.010497,13,101.374238000
1.94176,0.083,0.0095,13,91.875861000
1.90012,0.083,0.008072,13,91.210126000
2.8113,0.091,0.009595,13,101.426289000
2.79747,0.092,0.009184,13,102.456297000
1.91552,0.083,0.009224,13,91.334985000
1.92718,0.083,0.009648,13,92.180840000
1.90723,0.084,0.010356,13,91.531544000
2.80613,0.092,0.008298,13,101.917439000
2.87893,0.092,0.011922,13,103.034167000
2.827,0.091,0.010106,13,101.341286000
2.8715,0.091,0.01394,13,102.270806000
2.84065,0.092,0.011579,13,103.739460000
2.825,0.091,0.010389,13,101.840918000
1.92673,0.083,0.008964,13,91.463510000
2.83719,0.092,0.010181,13,101.405013000
1.93106,0.083,0.010165,13,92.044620000
1.91931,0.083,0.010978,13,91.646880000
2.83449,0.091,0.011003,13,101.163781000
2.84833,0.092,0.011969,13,101.492740000
2.81107,0.091,0.008693,13,100.700963000
2.81677,0.092,0.009913,13,101.401757000
1.90972,0.083,0.008646,13,91.080053000
2.84734,0.092,0.011296,13,102.460758000
2.82104,0.091,0.009869,13,100.955816000
1.90246,0.083,0.009141,13,91.448539000
1.90424,0.083,0.009302,13,91.247256000
1.92568,0.083,0.009055,13,91.973104000
1.92455,0.083,0.009131,13,91.296296000
2.78155,0.092,0.010627,13,101.416072000
2.84376,0.092,0.012892,13,102.794872000
2.85938,0.092,0.01163,13,103.250427000
2.86391,0.091,0.01036,13,100.989954000
2.80171,0.091,0.010765,13,101.709445000
2.82914,0.091,0.009594,13,100.923505000
2.80738,0.091,0.009552,13,101.989987000
2.85431,0.092,0.011263,13,102.221569000
2.78992,0.091,0.009496,13,100.875023000
2.81639,0.091,0.010291,13,100.817185000
2.82602,0.092,0.009847,13,102.281013000
