decrypted_hash,decryption_time,intersection_time,intersection_result,encryption_time,ciphertext_size,total_runtime
2084348484,3.826,1.013,0,0.034,1,2.120018385
2084348484,2.237,0.609,0,0.043,1,1.505619465
2084348484,3.881,1.04,0,0.036,1,2.152414031
2084348484,3.838,1.051,0,0.029,1,2.144758673
2084348484,3.825,1.015,0,0.032,1,2.118127840
2084348484,3.82,1.034,0,0.032,1,2.147969053
2084348484,3.832,1.033,0,0.031,1,2.128525082
2084348484,3.821,1.013,0,0.033,1,2.118837926
2084348484,3.785,1.023,0,0.047,1,2.149317893
2084348484,3.854,1.007,0,0.031,1,2.111857558
2084348484,3.9,1.042,0,0.034,1,2.148311799
2084348484,3.844,1.012,0,0.03,1,2.118474704
2084348484,2.067,0.513,0,0.019,1,1.123897543
2084348484,3.814,1.102,0,0.063,1,2.179724607
2084348484,3.819,1.013,0,0.032,1,2.125937223
2084348484,3.86,1.131,0,0.071,1,2.265084150
2084348484,2.118,0.531,0,0.02,1,1.161314409
2084348484,2.112,0.51,0,0.02,1,1.356143689
2084348484,3.793,1.073,0,0.064,1,2.172837074
2084348484,2.089,0.545,0,0.021,1,1.221685243
2084348484,2.066,0.535,0,0.019,1,1.138663671
2084348484,2.08,0.51,0,0.017,1,1.132342693
2084348484,3.929,1.043,0,0.032,1,2.128841776
2084348484,3.888,1.03,0,0.033,1,2.081932726
2084348484,3.772,1,0,0.031,1,2.104293659
2084348484,3.884,1.029,0,0.03,1,2.095449066
2084348484,3.808,1.025,0,0.031,1,2.134671512
2084348484,2.063,0.518,0,0.018,1,1.155713899
2084348484,3.793,0.554,0,0.017,1,1.516162177
2084348484,2.07,0.574,0,0.038,1,1.176813836
2084348484,2.077,0.516,0,0.019,1,1.149954514
2084348484,3.782,1.011,0,0.031,1,2.109240394
2084348484,2.032,0.514,0,0.019,1,1.184206869
2084348484,2.077,0.509,0,0.017,1,1.107762812
2084348484,2.083,0.513,0,0.019,1,1.112835097
2084348484,3.819,1.014,0,0.037,1,2.110020333
2084348484,2.311,0.511,0,0.02,1,1.139918663
2084348484,3.793,1.084,0,0.063,1,2.180871681
2084348484,3.814,1.021,0,0.03,1,2.125723872
2084348484,3.785,1.021,0,0.029,1,2.135431638
2084348484,3.817,1.031,0,0.074,1,2.133802110
2084348484,3.825,1.025,0,0.032,1,2.067793533
2084348484,3.795,1.098,0,0.065,1,2.200112245
2084348484,3.758,1.003,0,0.03,1,2.056128884
2084348484,3.802,0.998,0,0.029,1,2.081685587
2084348484,2.073,0.539,0,0.02,1,1.184782866
2084348484,3.848,0.996,0,0.028,1,2.083972675
2084348484,3.775,1.002,0,0.029,1,2.097830643
2084348484,3.801,1.025,0,0.03,1,2.081724708
2084348484,2.052,0.507,0,0.018,1,1.101832147
