decrypted_hash,decryption_time,intersection_time,intersection_result,encryption_time,ciphertext_size,total_runtime
2084348484,3.785,0.017,0,0.015,1,944.320438
2084348484,3.786,0.017,0,0.014,1,932.8470100000001
2084348484,3.845,0.017,0,0.015,1,935.630102
2084348484,3.758,0.016,0,0.014,1,936.049539
2084348484,3.819,0.016,0,0.015,1,932.169136
2084348484,3.802,0.016,0,0.014,1,932.33894
2084348484,3.816,0.017,0,0.015,1,937.236528
2084348484,3.791,0.016,0,0.015,1,932.941401
2084348484,3.754,0.016,0,0.013,1,902.922969
2084348484,2.049,0.009,0,0.007,1,642.699287
2084348484,3.784,0.017,0,0.015,1,923.507847
2084348484,3.818,0.016,0,0.013,1,909.6717170000001
2084348484,2.073,0.009,0,0.007,1,564.471029
2084348484,3.808,0.016,0,0.014,1,924.7054569999999
2084348484,3.79,0.016,0,0.014,1,907.584784
2084348484,2.064,0.009,0,0.006,1,551.126722
2084348484,2.092,0.009,0,0.006,1,731.827031
2084348484,3.823,0.017,0,0.014,1,922.834574
2084348484,3.85,0.017,0,0.015,1,935.5906349999999
2084348484,3.848,0.017,0,0.014,1,912.2014419999999
2084348484,3.843,0.017,0,0.014,1,935.543577
2084348484,3.791,0.016,0,0.015,1,933.2619159999999
2084348484,3.781,0.017,0,0.013,1,928.5771609999999
2084348484,2.053,0.009,0,0.007,1,550.455817
2084348484,3.816,0.016,0,0.015,1,921.5563490000001
2084348484,3.852,0.017,0,0.013,1,932.728466
2084348484,3.835,0.017,0,0.014,1,936.593489
2084348484,3.803,0.016,0,0.014,1,931.652925
2084348484,3.839,0.017,0,0.014,1,938.5643259999999
2084348484,2.142,0.009,0,0.009,1,837.7551629999999
2084348484,2.09,0.009,0,0.007,1,561.68065
2084348484,3.816,0.016,0,0.014,1,929.704516
2084348484,2.074,0.009,0,0.007,1,561.556243
2084348484,3.777,0.016,0,0.015,1,923.959638
2084348484,3.846,0.017,0,0.014,1,905.1266380000001
2084348484,3.838,0.016,0,0.014,1,932.432603
2084348484,3.92,0.017,0,0.016,1,933.471617
2084348484,2.104,0.009,0,0.007,1,772.341617
2084348484,3.814,0.017,0,0.014,1,917.0441000000001
2084348484,3.844,0.017,0,0.015,1,939.048253
2084348484,3.89,0.017,0,0.015,1,942.269792
2084348484,3.891,0.017,0,0.014,1,948.7991609999999
2084348484,3.78,0.016,0,0.014,1,932.499855
2084348484,3.82,0.017,0,0.015,1,942.557622
2084348484,2.059,0.009,0,0.006,1,554.2680399999999
2084348484,3.834,0.016,0,0.015,1,931.2209230000001
2084348484,3.754,0.017,0,0.014,1,924.920355
2084348484,3.805,0.016,0,0.013,1,924.0313199999999
2084348484,3.841,0.017,0,0.012,1,915.071344
2084348484,3.783,0.016,0,0.015,1,932.563438
