decrypted_hash,decryption_time,intersection_time,intersection_result,encryption_time,ciphertext_size,total_runtime
2084348484,2.072,0.117,0,0.008,1,642.81389
2084348484,2.074,0.117,0,0.008,1,917.127519
2084348484,3.889,0.212,0,0.014,1,1115.103816
2084348484,2.056,0.118,0,0.009,1,681.829914
2084348484,2.087,0.117,0,0.008,1,652.770281
2084348484,2.055,0.117,0,0.008,1,643.916266
2084348484,2.099,0.119,0,0.007,1,686.320362
2084348484,2.801,0.121,0,0.014,1,686.997567
2084348484,2.067,0.117,0,0.007,1,672.467618
2084348484,2.087,0.117,0,0.007,1,635.441715
2084348484,3.903,0.235,0,0.019,1,1183.288012
2084348484,3.843,0.207,0,0.013,1,1104.9984200000001
2084348484,3.799,0.233,0,0.017,1,1185.175298
2084348484,3.833,0.228,0,0.015,1,1156.535662
2084348484,2.075,0.119,0,0.008,1,712.976227
2084348484,2.052,0.117,0,0.008,1,850.910674
2084348484,2.052,0.117,0,0.007,1,622.4426749999999
2084348484,2.075,0.12,0,0.008,1,673.427645
2084348484,2.09,0.117,0,0.007,1,625.067132
2084348484,3.819,0.23,0,0.017,1,1173.564076
2084348484,3.777,0.228,0,0.014,1,1182.641185
2084348484,3.778,0.23,0,0.017,1,1179.3583039999999
2084348484,3.796,0.227,0,0.015,1,1178.7996229999999
2084348484,2.058,0.12,0,0.01,1,785.8010989999999
2084348484,3.809,0.229,0,0.019,1,1158.890882
2084348484,3.798,0.228,0,0.017,1,1160.924041
2084348484,3.84,0.226,0,0.016,1,1164.7541990000002
2084348484,3.8,0.231,0,0.017,1,1174.688408
2084348484,3.803,0.227,0,0.017,1,1175.116659
2084348484,3.784,0.232,0,0.017,1,1182.3364649999999
2084348484,2.062,0.118,0,0.007,1,699.587127
2084348484,3.767,0.228,0,0.015,1,1166.729272
2084348484,3.8,0.231,0,0.018,1,1174.830739
2084348484,3.786,0.231,0,0.016,1,1143.178097
2084348484,2.092,0.119,0,0.009,1,798.958944
2084348484,3.758,0.227,0,0.016,1,1166.211003
2084348484,3.855,0.226,0,0.018,1,1165.403293
2084348484,2.124,0.117,0,0.007,1,704.043046
2084348484,3.854,0.232,0,0.019,1,1183.707996
2084348484,3.749,0.227,0,0.015,1,1175.266634
2084348484,3.835,0.23,0,0.015,1,1185.361985
2084348484,3.798,0.228,0,0.016,1,1171.0124019999998
2084348484,3.796,0.188,0,0.011,1,1069.0118200000002
2084348484,3.928,0.234,0,0.02,1,1181.7962049999999
2084348484,2.086,0.117,0,0.007,1,701.556481
2084348484,3.821,0.228,0,0.017,1,1167.5190200000002
2084348484,3.868,0.234,0,0.025,1,1206.5857609999998
2084348484,2.056,0.117,0,0.007,1,676.069397
2084348484,3.792,0.233,0,0.017,1,1167.999995
2084348484,2.083,0.12,0,0.01,1,862.133829
