decrypted_hash,decryption_time,intersection_time,intersection_result,encryption_time,ciphertext_size,total_runtime
2084348484,3.814,0.11,0,0.016,1,1033.906956
2084348484,3.823,0.108,0,0.013,1,1036.550373
2084348484,3.82,0.11,0,0.015,1,1036.25992
2084348484,3.799,0.109,0,0.015,1,1035.409775
2084348484,3.812,0.11,0,0.017,1,1041.6919579999999
2084348484,2.051,0.057,0,0.007,1,810.133907
2084348484,3.796,0.111,0,0.017,1,1034.0755800000002
2084348484,3.858,0.109,0,0.015,1,1034.552723
2084348484,2.08,0.062,0,0.006,1,614.2068889999999
2084348484,3.793,0.112,0,0.016,1,883.975485
2084348484,2.056,0.057,0,0.008,1,603.8332389999999
2084348484,3.822,0.111,0,0.015,1,1034.105211
2084348484,3.776,0.109,0,0.014,1,1032.640804
2084348484,2.061,0.058,0,0.007,1,611.372142
2084348484,3.802,0.11,0,0.015,1,1022.3124159999999
2084348484,3.783,0.11,0,0.016,1,1036.429114
2084348484,2.059,0.057,0,0.007,1,605.5117180000001
2084348484,3.806,0.111,0,0.015,1,1034.067763
2084348484,2.073,0.058,0,0.008,1,717.608066
2084348484,3.832,0.11,0,0.018,1,1017.408637
2084348484,2.072,0.057,0,0.007,1,629.448701
2084348484,2.116,0.061,0,0.009,1,882.6809450000001
2084348484,3.772,0.109,0,0.015,1,1025.9122380000001
2084348484,3.819,0.109,0,0.015,1,1037.604667
2084348484,3.856,0.076,0,0.011,1,966.336305
2084348484,3.812,0.109,0,0.015,1,1028.6495810000001
2084348484,3.829,0.111,0,0.016,1,1053.057806
2084348484,2.068,0.057,0,0.006,1,615.328399
2084348484,3.888,0.112,0,0.018,1,1048.325317
2084348484,3.889,0.111,0,0.019,1,1052.439447
2084348484,3.738,0.109,0,0.014,1,1036.867826
2084348484,2.067,0.057,0,0.008,1,629.670443
2084348484,3.834,0.11,0,0.02,1,1029.790463
2084348484,3.913,0.112,0,0.018,1,1058.3673959999999
2084348484,3.905,0.112,0,0.02,1,1054.518523
2084348484,3.85,0.111,0,0.017,1,1047.744416
2084348484,2.092,0.058,0,0.008,1,744.918945
2084348484,3.778,0.11,0,0.014,1,1031.456958
2084348484,3.869,0.109,0,0.014,1,1035.379134
2084348484,3.803,0.111,0,0.016,1,1045.74853
2084348484,3.762,0.111,0,0.016,1,1039.012348
2084348484,3.77,0.109,0,0.015,1,1032.385552
2084348484,3.793,0.11,0,0.015,1,1028.5419929999998
2084348484,2.077,0.057,0,0.007,1,835.511414
2084348484,3.79,0.109,0,0.014,1,1025.109356
2084348484,3.922,0.112,0,0.019,1,1056.6717130000002
2084348484,3.843,0.111,0,0.018,1,1047.14648
2084348484,3.819,0.109,0,0.016,1,1041.0579559999999
2084348484,3.77,0.11,0,0.014,1,1032.336449
2084348484,3.899,0.112,0,0.017,1,1061.142547
