decrypted_hash,decryption_time,intersection_time,intersection_result,encryption_time,ciphertext_size,total_runtime
2084348484,2.074,0.003,0,0.003,1,567.5853709999999
2084348484,2.067,0.002,0,0.003,1,543.0989000000001
2084348484,3.797,0.005,0,0.006,1,914.1901260000001
2084348484,2.755,0.004,0,0.004,1,584.070733
2084348484,2.099,0.003,0,0.003,1,701.02329
2084348484,3.769,0.005,0,0.006,1,905.239966
2084348484,2.056,0.002,0,0.003,1,546.390054
2084348484,2.051,0.002,0,0.003,1,570.287146
2084348484,3.803,0.005,0,0.006,1,909.689056
2084348484,2.057,0.002,0,0.003,1,546.177909
2084348484,2.049,0.002,0,0.003,1,491.470252
2084348484,2.048,0.002,0,0.003,1,494.780988
2084348484,3.752,0.005,0,0.006,1,899.38747
2084348484,3.785,0.005,0,0.006,1,924.74642
2084348484,3.831,0.005,0,0.006,1,918.151983
2084348484,3.789,0.005,0,0.006,1,923.321712
2084348484,2.084,0.003,0,0.004,1,555.064387
2084348484,2.081,0.003,0,0.003,1,507.0766249999999
2084348484,3.766,0.005,0,0.006,1,909.159233
2084348484,2.055,0.002,0,0.004,1,563.437408
2084348484,2.065,0.002,0,0.003,1,542.973998
2084348484,2.086,0.003,0,0.003,1,509.33658299999996
2084348484,3.807,0.005,0,0.005,1,910.843545
2084348484,2.045,0.002,0,0.003,1,554.652622
2084348484,2.064,0.002,0,0.002,1,737.704422
2084348484,2.09,0.003,0,0.003,1,495.077157
2084348484,2.106,0.003,0,0.003,1,511.25865400000004
2084348484,2.075,0.002,0,0.003,1,551.0117220000001
2084348484,2.057,0.002,0,0.003,1,542.02153
2084348484,2.07,0.003,0,0.003,1,547.9539020000001
2084348484,3.801,0.005,0,0.006,1,910.00982
2084348484,2.077,0.003,0,0.003,1,584.557012
2084348484,2.076,0.003,0,0.002,1,496.20961400000004
2084348484,2.079,0.003,0,0.003,1,624.35374
2084348484,2.07,0.002,0,0.003,1,537.928899
2084348484,3.808,0.005,0,0.006,1,912.059982
2084348484,2.059,0.002,0,0.003,1,679.071411
2084348484,3.826,0.005,0,0.006,1,910.894868
2084348484,2.074,0.003,0,0.003,1,569.795292
2084348484,3.811,0.005,0,0.005,1,904.211575
2084348484,2.053,0.002,0,0.003,1,550.7319309999999
2084348484,2.062,0.002,0,0.003,1,496.358305
2084348484,2.081,0.003,0,0.003,1,506.05526499999996
2084348484,2.061,0.002,0,0.003,1,508.847704
2084348484,3.855,0.005,0,0.006,1,914.866783
2084348484,3.888,0.005,0,0.005,1,920.3798290000001
2084348484,3.801,0.005,0,0.007,1,925.110243
2084348484,2.106,0.003,0,0.003,1,706.677372
2084348484,2.058,0.002,0,0.003,1,680.705153
2084348484,2.073,0.003,0,0.004,1,523.45064
