decrypted_hash,decryption_time,intersection_time,intersection_result,encryption_time,ciphertext_size,total_runtime
2084348484,2.062,0.029,0,0.006,1,770.746999
2084348484,2.06,0.029,0,0.007,1,515.698717
2084348484,3.879,0.055,0,0.016,1,957.669818
2084348484,2.063,0.029,0,0.007,1,723.221449
2084348484,3.782,0.054,0,0.015,1,959.9707520000001
2084348484,3.778,0.054,0,0.015,1,947.674312
2084348484,2.082,0.029,0,0.007,1,623.406084
2084348484,2.107,0.029,0,0.006,1,545.383778
2084348484,2.148,0.03,0,0.008,1,846.2568809999999
2084348484,2.076,0.029,0,0.008,1,521.162627
2084348484,3.846,0.054,0,0.016,1,968.4205900000001
2084348484,2.049,0.029,0,0.006,1,584.40266
2084348484,2.171,0.029,0,0.007,1,555.172489
2084348484,2.092,0.029,0,0.006,1,546.124588
2084348484,2.052,0.029,0,0.007,1,755.485565
2084348484,2.062,0.029,0,0.008,1,579.0480620000001
2084348484,2.049,0.029,0,0.007,1,548.880355
2084348484,2.064,0.029,0,0.008,1,529.4949839999999
2084348484,2.047,0.029,0,0.007,1,565.0851700000001
2084348484,2.063,0.029,0,0.008,1,590.041951
2084348484,2.185,0.031,0,0.007,1,584.088114
2084348484,2.038,0.029,0,0.007,1,567.574992
2084348484,3.786,0.054,0,0.016,1,965.5512229999999
2084348484,3.784,0.055,0,0.015,1,973.637685
2084348484,3.757,0.055,0,0.014,1,974.449066
2084348484,2.114,0.029,0,0.008,1,723.654335
2084348484,3.763,0.054,0,0.015,1,964.2117609999999
2084348484,2.636,0.032,0,0.007,1,699.76854
2084348484,3.829,0.055,0,0.017,1,967.201594
2084348484,3.851,0.054,0,0.016,1,973.346193
2084348484,2.055,0.029,0,0.007,1,555.0591019999999
2084348484,2.115,0.031,0,0.007,1,537.6842240000001
2084348484,3.809,0.055,0,0.015,1,970.316321
2084348484,3.788,0.054,0,0.015,1,975.8350180000001
2084348484,2.086,0.029,0,0.008,1,592.589481
2084348484,3.813,0.055,0,0.018,1,976.690911
2084348484,3.8,0.056,0,0.015,1,976.421195
2084348484,2.068,0.029,0,0.007,1,716.751414
2084348484,2.052,0.029,0,0.007,1,527.854873
2084348484,2.071,0.029,0,0.007,1,559.984168
2084348484,2.057,0.029,0,0.007,1,524.247164
2084348484,2.077,0.029,0,0.006,1,520.6678810000001
2084348484,3.926,0.055,0,0.021,1,979.445475
2084348484,2.07,0.031,0,0.007,1,586.826775
2084348484,3.904,0.055,0,0.019,1,979.423949
2084348484,3.892,0.055,0,0.019,1,991.957704
2084348484,3.842,0.055,0,0.015,1,971.698701
2084348484,3.914,0.055,0,0.019,1,992.4834850000001
2084348484,2.058,0.029,0,0.007,1,580.116076
2084348484,3.81,0.055,0,0.016,1,966.4572780000001
