decrypted_hash,decryption_time,intersection_time,intersection_result,encryption_time,ciphertext_size,total_runtime
2084348484,3.799,0.027,0,0.015,1,.949174123
2084348484,3.835,0.027,0,0.016,1,.946723699
2084348484,3.902,0.027,0,0.016,1,.961136742
2084348484,3.794,0.027,0,0.015,1,.939250564
2084348484,3.843,0.027,0,0.015,1,.943811440
2084348484,3.88,0.027,0,0.015,1,.961975296
2084348484,2.069,0.014,0,0.006,1,.706354700
2084348484,2.085,0.014,0,0.007,1,.524238508
2084348484,2.058,0.014,0,0.007,1,.519115569
2084348484,3.85,0.027,0,0.015,1,.929834475
2084348484,3.839,0.027,0,0.016,1,.957394183
2084348484,3.938,0.027,0,0.016,1,.957277687
2084348484,3.877,0.027,0,0.015,1,.954634836
2084348484,3.913,0.027,0,0.015,1,.955946313
2084348484,3.83,0.027,0,0.016,1,.943860451
2084348484,2.071,0.014,0,0.007,1,.549493764
2084348484,2.086,0.014,0,0.007,1,.527215977
2084348484,3.835,0.027,0,0.015,1,.938591817
2084348484,2.068,0.014,0,0.007,1,.750104166
2084348484,3.801,0.027,0,0.015,1,.926577006
2084348484,2.056,0.014,0,0.008,1,.734249374
2084348484,2.052,0.014,0,0.007,1,.664052857
2084348484,3.87,0.027,0,0.017,1,.940898371
2084348484,2.072,0.014,0,0.007,1,.557613938
2084348484,2.085,0.014,0,0.007,1,.585635926
2084348484,2.086,0.014,0,0.007,1,.555029833
2084348484,3.857,0.027,0,0.016,1,.947441733
2084348484,2.073,0.014,0,0.006,1,.560126125
2084348484,3.924,0.027,0,0.014,1,.937126395
2084348484,3.824,0.027,0,0.016,1,.951951277
2084348484,3.779,0.027,0,0.015,1,.926582764
2084348484,3.814,0.027,0,0.016,1,.942443796
2084348484,3.782,0.027,0,0.014,1,.950227431
2084348484,3.756,0.027,0,0.015,1,.943477247
2084348484,3.792,0.027,0,0.015,1,.922138897
2084348484,3.825,0.027,0,0.015,1,.940708160
2084348484,3.813,0.027,0,0.014,1,.943314596
2084348484,3.831,0.027,0,0.015,1,.943290252
2084348484,3.801,0.027,0,0.015,1,.940476793
2084348484,3.851,0.027,0,0.016,1,.958678077
2084348484,3.798,0.027,0,0.016,1,.949627758
2084348484,3.759,0.027,0,0.016,1,.932181460
2084348484,3.838,0.027,0,0.016,1,.937615352
2084348484,2.113,0.014,0,0.008,1,.815355243
2084348484,2.08,0.014,0,0.007,1,.521342784
2084348484,2.06,0.014,0,0.007,1,.519974928
2084348484,3.815,0.027,0,0.015,1,.921686234
2084348484,3.829,0.027,0,0.014,1,.901976876
2084348484,3.798,0.027,0,0.014,1,.935275799
2084348484,3.754,0.027,0,0.014,1,.930800239
