decrypted_hash,decryption_time,intersection_time,intersection_result,encryption_time,ciphertext_size,total_runtime
2084348484,2.072,0.117,0,0.008,1,.642813890
2084348484,2.074,0.117,0,0.008,1,.917127519
2084348484,3.889,0.212,0,0.014,1,1.115103816
2084348484,2.056,0.118,0,0.009,1,.681829914
2084348484,2.087,0.117,0,0.008,1,.652770281
2084348484,2.055,0.117,0,0.008,1,.643916266
2084348484,2.099,0.119,0,0.007,1,.686320362
2084348484,2.801,0.121,0,0.014,1,.686997567
2084348484,2.067,0.117,0,0.007,1,.672467618
2084348484,2.087,0.117,0,0.007,1,.635441715
2084348484,3.903,0.235,0,0.019,1,1.183288012
2084348484,3.843,0.207,0,0.013,1,1.104998420
2084348484,3.799,0.233,0,0.017,1,1.185175298
2084348484,3.833,0.228,0,0.015,1,1.156535662
2084348484,2.075,0.119,0,0.008,1,.712976227
2084348484,2.052,0.117,0,0.008,1,.850910674
2084348484,2.052,0.117,0,0.007,1,.622442675
2084348484,2.075,0.12,0,0.008,1,.673427645
2084348484,2.09,0.117,0,0.007,1,.625067132
2084348484,3.819,0.23,0,0.017,1,1.173564076
2084348484,3.777,0.228,0,0.014,1,1.182641185
2084348484,3.778,0.23,0,0.017,1,1.179358304
2084348484,3.796,0.227,0,0.015,1,1.178799623
2084348484,2.058,0.12,0,0.01,1,.785801099
2084348484,3.809,0.229,0,0.019,1,1.158890882
2084348484,3.798,0.228,0,0.017,1,1.160924041
2084348484,3.84,0.226,0,0.016,1,1.164754199
2084348484,3.8,0.231,0,0.017,1,1.174688408
2084348484,3.803,0.227,0,0.017,1,1.175116659
2084348484,3.784,0.232,0,0.017,1,1.182336465
2084348484,2.062,0.118,0,0.007,1,.699587127
2084348484,3.767,0.228,0,0.015,1,1.166729272
2084348484,3.8,0.231,0,0.018,1,1.174830739
2084348484,3.786,0.231,0,0.016,1,1.143178097
2084348484,2.092,0.119,0,0.009,1,.798958944
2084348484,3.758,0.227,0,0.016,1,1.166211003
2084348484,3.855,0.226,0,0.018,1,1.165403293
2084348484,2.124,0.117,0,0.007,1,.704043046
2084348484,3.854,0.232,0,0.019,1,1.183707996
2084348484,3.749,0.227,0,0.015,1,1.175266634
2084348484,3.835,0.23,0,0.015,1,1.185361985
2084348484,3.798,0.228,0,0.016,1,1.171012402
2084348484,3.796,0.188,0,0.011,1,1.069011820
2084348484,3.928,0.234,0,0.02,1,1.181796205
2084348484,2.086,0.117,0,0.007,1,.701556481
2084348484,3.821,0.228,0,0.017,1,1.167519020
2084348484,3.868,0.234,0,0.025,1,1.206585761
2084348484,2.056,0.117,0,0.007,1,.676069397
2084348484,3.792,0.233,0,0.017,1,1.167999995
2084348484,2.083,0.12,0,0.01,1,.862133829
