decrypted_hash,decryption_time,intersection_time,intersection_result,encryption_time,ciphertext_size,total_runtime
2084348484,2.07,0.003,0,0.003,1,.516719047
2084348484,3.843,0.006,0,0.006,1,.913703957
2084348484,2.051,0.003,0,0.003,1,.548165003
2084348484,2.061,0.003,0,0.003,1,.623161281
2084348484,2.074,0.003,0,0.002,1,.543257234
2084348484,3.861,0.006,0,0.006,1,.912405888
2084348484,2.082,0.003,0,0.003,1,.558548429
2084348484,2.038,0.003,0,0.003,1,.538571170
2084348484,3.82,0.006,0,0.007,1,.901132496
2084348484,2.064,0.003,0,0.003,1,.537932298
2084348484,2.062,0.003,0,0.003,1,.494650014
2084348484,2.065,0.003,0,0.003,1,.486924951
2084348484,2.056,0.003,0,0.003,1,.494246018
2084348484,3.814,0.006,0,0.006,1,.913079235
2084348484,2.102,0.003,0,0.003,1,.798286183
2084348484,3.826,0.006,0,0.006,1,.913646002
2084348484,3.831,0.006,0,0.006,1,.918615749
2084348484,2.063,0.003,0,0.003,1,.545192345
2084348484,2.057,0.003,0,0.003,1,.515781874
2084348484,2.047,0.003,0,0.003,1,.543461501
2084348484,2.057,0.003,0,0.003,1,.507381165
2084348484,2.051,0.003,0,0.003,1,.549704140
2084348484,3.841,0.006,0,0.005,1,.898741511
2084348484,3.858,0.006,0,0.006,1,.912590187
2084348484,3.772,0.006,0,0.006,1,.915993184
2084348484,2.055,0.003,0,0.003,1,.548972502
2084348484,3.779,0.006,0,0.006,1,.902461326
2084348484,3.825,0.006,0,0.006,1,.922627499
2084348484,3.767,0.006,0,0.006,1,.910159699
2084348484,3.793,0.006,0,0.006,1,.912374889
2084348484,2.049,0.003,0,0.003,1,.606795084
2084348484,3.785,0.006,0,0.006,1,.910452861
2084348484,3.816,0.006,0,0.006,1,.919602924
2084348484,2.081,0.003,0,0.003,1,.768200561
2084348484,3.775,0.006,0,0.006,1,.911248721
2084348484,2.06,0.003,0,0.003,1,.559773978
2084348484,2.076,0.003,0,0.003,1,.558381787
2084348484,3.822,0.006,0,0.006,1,.912334589
2084348484,3.857,0.006,0,0.006,1,.919493316
2084348484,2.056,0.003,0,0.004,1,.721351476
2084348484,3.766,0.006,0,0.007,1,.908981357
2084348484,3.8,0.006,0,0.006,1,.912409120
2084348484,2.05,0.003,0,0.004,1,.555418143
2084348484,3.811,0.006,0,0.006,1,.917512164
2084348484,3.785,0.006,0,0.006,1,.919250796
2084348484,2.076,0.003,0,0.003,1,.566445881
2084348484,3.782,0.006,0,0.006,1,.912815130
2084348484,3.786,0.006,0,0.006,1,.923464255
2084348484,2.075,0.003,0,0.003,1,.558908144
2084348484,3.831,0.006,0,0.006,1,.916925766
