decrypted_hash,decryption_time,intersection_time,intersection_result,encryption_time,ciphertext_size,total_runtime
2084348484,3.799,0.027,0,0.015,1,949.174123
2084348484,3.835,0.027,0,0.016,1,946.723699
2084348484,3.902,0.027,0,0.016,1,961.136742
2084348484,3.794,0.027,0,0.015,1,939.2505639999999
2084348484,3.843,0.027,0,0.015,1,943.81144
2084348484,3.88,0.027,0,0.015,1,961.975296
2084348484,2.069,0.014,0,0.006,1,706.3547
2084348484,2.085,0.014,0,0.007,1,524.238508
2084348484,2.058,0.014,0,0.007,1,519.115569
2084348484,3.85,0.027,0,0.015,1,929.834475
2084348484,3.839,0.027,0,0.016,1,957.394183
2084348484,3.938,0.027,0,0.016,1,957.277687
2084348484,3.877,0.027,0,0.015,1,954.634836
2084348484,3.913,0.027,0,0.015,1,955.946313
2084348484,3.83,0.027,0,0.016,1,943.860451
2084348484,2.071,0.014,0,0.007,1,549.493764
2084348484,2.086,0.014,0,0.007,1,527.215977
2084348484,3.835,0.027,0,0.015,1,938.5918170000001
2084348484,2.068,0.014,0,0.007,1,750.104166
2084348484,3.801,0.027,0,0.015,1,926.577006
2084348484,2.056,0.014,0,0.008,1,734.249374
2084348484,2.052,0.014,0,0.007,1,664.052857
2084348484,3.87,0.027,0,0.017,1,940.898371
2084348484,2.072,0.014,0,0.007,1,557.6139380000001
2084348484,2.085,0.014,0,0.007,1,585.635926
2084348484,2.086,0.014,0,0.007,1,555.0298329999999
2084348484,3.857,0.027,0,0.016,1,947.441733
2084348484,2.073,0.014,0,0.006,1,560.126125
2084348484,3.924,0.027,0,0.014,1,937.126395
2084348484,3.824,0.027,0,0.016,1,951.951277
2084348484,3.779,0.027,0,0.015,1,926.582764
2084348484,3.814,0.027,0,0.016,1,942.4437959999999
2084348484,3.782,0.027,0,0.014,1,950.2274309999999
2084348484,3.756,0.027,0,0.015,1,943.477247
2084348484,3.792,0.027,0,0.015,1,922.1388969999999
2084348484,3.825,0.027,0,0.015,1,940.70816
2084348484,3.813,0.027,0,0.014,1,943.314596
2084348484,3.831,0.027,0,0.015,1,943.290252
2084348484,3.801,0.027,0,0.015,1,940.4767929999999
2084348484,3.851,0.027,0,0.016,1,958.6780769999999
2084348484,3.798,0.027,0,0.016,1,949.627758
2084348484,3.759,0.027,0,0.016,1,932.18146
2084348484,3.838,0.027,0,0.016,1,937.615352
2084348484,2.113,0.014,0,0.008,1,815.355243
2084348484,2.08,0.014,0,0.007,1,521.342784
2084348484,2.06,0.014,0,0.007,1,519.974928
2084348484,3.815,0.027,0,0.015,1,921.686234
2084348484,3.829,0.027,0,0.014,1,901.976876
2084348484,3.798,0.027,0,0.014,1,935.275799
2084348484,3.754,0.027,0,0.014,1,930.8002389999999
