decrypted_hash,decryption_time,intersection_time,intersection_result,encryption_time,ciphertext_size,total_runtime
2084348484,2.071,0.246,0,0.01,1,.998656486
2084348484,3.851,0.48,0,0.021,1,1.461373344
2084348484,3.765,0.476,0,0.023,1,1.471578600
2084348484,2.073,0.247,0,0.011,1,.824293121
2084348484,3.861,0.49,0,0.021,1,1.493111800
2084348484,2.09,0.247,0,0.01,1,1.051097281
2084348484,2.082,0.242,0,0.01,1,.820388351
2084348484,3.89,0.491,0,0.028,1,1.497386228
2084348484,3.897,0.483,0,0.022,1,1.485687159
2084348484,2.049,0.244,0,0.009,1,.959191151
2084348484,2.055,0.242,0,0.009,1,.824355020
2084348484,2.116,0.252,0,0.015,1,.874830565
2084348484,3.876,0.475,0,0.021,1,1.456699485
2084348484,2.048,0.242,0,0.009,1,.840551613
2084348484,2.03,0.245,0,0.012,1,.907981627
2084348484,2.056,0.248,0,0.01,1,.831532187
2084348484,2.077,0.248,0,0.015,1,.815877668
2084348484,2.07,0.244,0,0.015,1,.780666928
2084348484,3.753,0.473,0,0.018,1,1.453109708
2084348484,3.862,0.478,0,0.024,1,1.476319149
2084348484,3.816,0.483,0,0.03,1,1.479641186
2084348484,2.09,0.251,0,0.011,1,.843638459
2084348484,2.08,0.25,0,0.013,1,.819796901
2084348484,3.835,0.482,0,0.019,1,1.473842066
2084348484,3.859,0.256,0,0.011,1,1.178383790
2084348484,3.912,0.489,0,0.027,1,1.315163235
2084348484,2.071,0.245,0,0.013,1,.934222880
2084348484,2.085,0.242,0,0.01,1,.935970860
2084348484,3.816,0.486,0,0.019,1,1.474202218
2084348484,2.074,0.25,0,0.014,1,.951070177
2084348484,3.823,0.474,0,0.019,1,1.459666475
2084348484,2.06,0.245,0,0.011,1,.854931852
2084348484,3.868,0.473,0,0.019,1,1.459418739
2084348484,3.892,0.281,0,0.014,1,1.182890067
2084348484,3.843,0.485,0,0.02,1,1.474194087
2084348484,3.817,0.484,0,0.02,1,1.474761951
2084348484,3.814,0.483,0,0.02,1,1.477436484
2084348484,3.812,0.476,0,0.02,1,1.457152653
2084348484,3.807,0.478,0,0.019,1,1.479627235
2084348484,3.786,0.478,0,0.019,1,1.470118896
2084348484,3.849,0.49,0,0.022,1,1.498989364
2084348484,4.213,0.481,0,0.026,1,1.477484545
2084348484,3.928,0.494,0,0.023,1,1.517652169
2084348484,3.83,0.49,0,0.02,1,1.510692505
2084348484,3.86,0.49,0,0.021,1,1.503043381
2084348484,3.845,0.48,0,0.021,1,1.485456713
2084348484,2.075,0.247,0,0.01,1,1.005837638
2084348484,3.795,0.477,0,0.025,1,1.461369730
2084348484,3.863,0.49,0,0.024,1,1.505362505
2084348484,3.832,0.481,0,0.027,1,1.479437686
